X,Y,OBJECTID,ASSET_ADDR,ASSET_NAME,OPA_ADDR,SITE_NAME,SITE_CODE,SHAREBLDG_ASSETID,ASSET_ID,SHAREBLDG_NOTE,ASSET_GROUP1,ASSET_GROUP2,ASSET_TYPE,ASSET_SUBTYPE1,ASSET_SUBTYPE2,BUILDINGID,SECONDARYSITE_ID,PRIMARYSITE_ID,ASSET_SUBT1_DESC,CITYOWNED,CITYUSE_DESC,OCCUPANT,MAINTAINEDBY,OPA_ID,OPA_OWNER,SITE_ACRES,SERVING_TYPE,EDITNOTE1,EDITDATE,EDITSOURCE,EDITOR,NOT_PUBLIC,STATUS
-75.1861207850199,39.969242925628,32,830 KELLY DR,Fairmount Boat Shed 2,,Boathouse Row,,,3607,,,,,,,,,,,,,PPR,PPR,,,5.645147,,,,,,,
-75.1858038208738,39.9691379089548,33,830 KELLY DR,Fairmount Boat Shed 3,,Boathouse Row,,,3608,,,,,,,,,,,,,PPR,PPR,,,5.645147,,,,,,,
-75.1856889699869,39.9690867625636,34,820 KELLY DR,Wheel Fun Shed,,Boathouse Row,,,3609,,,,,,,,,,,,,PPR,PPR,,,5.645147,,,,,,,
-75.1856477981697,39.9691535413634,35,820 KELLY DR,Wheel Fun Storage Shed 1,,Boathouse Row,,,3610,,,,,,,,,,,,,PPR,PPR,,,5.645147,,,,,,,
-75.1856737085582,39.9691582090897,36,820 KELLY DR,Wheel Fun Storage Shed 2,,Boathouse Row,,,3611,,,,,,,,,,,,,PPR,PPR,,,5.645147,,,,,,,
-75.1856052271205,39.9692715301001,37,820 KELLY DR,Wheel Fun Rental Office,,Boathouse Row,,,3612,,,,,,,,,,,,,PPR,PPR,,,5.645147,,,,,,,
-75.0679554056566,39.9992597162213,38,4649 RICHMOND ST,Bridesburg Pool Building,,Bridesburg Pool Building,,,3766,,,,,,,,,,,Y,,PPR,PPR,,,7.982771,,,,,,,
-75.0952068583058,40.010893967884,39,1632 E BRISTOL ST,Bristol Street Tract,,Bristol Street Tract,,,3601,,,,,,,,,,,Y,,PPR,PPR,,,1.972359,,,,,,,
-75.1795789642741,39.9767279697848,40,1341 N 27TH ST,Brewerytown Garden,,Brewerytown Garden,,,3767,,,,,,,,,,,,,PUBLIC USE,PPR,,,0.476755,,,,,,,
-75.1502569684007,39.9212439648914,41,200 SNYDER AVE,Burke Playground Storage Building,,Burke Playground,,,202,,,,,,,,,,,Y,,PPR,PPR,,,1.711827,,,,,,,
-75.1031143225558,39.9862226976441,42,2525 E ALLEGHENY AVE,Campbell Square Building,,Campbell Square,,,3577,,,,,,,,,,,Y,,PPR,PPR,,,2.613638,,,,,,,
-75.2082672191175,39.9895853106033,43,4221 MONTGOMERY DR,Car Barn Compound,,Car Barn Compound,,,3768,,,,,,,,,,,Y,,PPR,PPR,,,5.634855,,,,,,,
-75.2134642023836,39.9795912826849,44,1601 BELMONT AVE,Carousel House Recreation Center Shed,,Carousel House Recreation Center,,,3769,,,,,,,,,,,Y,,PPR,PPR,,,5.244246,,,,,,,
-75.2369867277229,39.9709933465658,45,5801 W GIRARD AVE,Carroll Park Building,,Carroll Park Building,,,3555,,,,,,,,,,,Y,,PPR,PPR,,,5.636206,,,,,,,
-75.2310389389533,39.9772970561999,46,5433 LANSDOWNE AVE,Charles A. Baker Playground Pool Building,,Charles A. Baker Playground Pool Building,,,3592,,,,,,,,,,,Y,,PPR,PPR,,,0.759114,,,,,,,
-75.2311004666958,39.9771508125257,47,5433 LANSDOWNE AVE,Charles A. Baker Playground Shelter,,Charles A. Baker Playground Shelter,,,3504,,,,,,,,,,,Y,,PPR,PPR,,,0.759114,,,,,,,
-75.2560180632625,39.9758363863092,48,906 N 68TH ST,Royal Gardens,,Charles A. Papa Playground,,,3770,,,,,,,,,,,,,PPR,PPR,,,,,,,,,,
-75.2105629429787,39.9473056636436,49,1155 S 45TH ST,Clarence H Clark Park Restrooms,,Clarence H Clark Park,,,3771,,,,,,,,,,,Y,,PPR,PPR,,,12.034016,,,,,,,
-75.1745620988142,39.9379770269221,50,1800 WASHINGTON AVE,"Charles H. Chew, Sr. Playground Garden",,"Charles H. Chew, Sr. Playground",,,3772,,,,,,,,,,,Y,,PPR,PPR,,,2.798554,,,,,,,
-75.2480539261942,39.9612142350522,51,104 COBBS CREEK PKWY,Cobbs Cinder Block Ruins,,Cobbs Cinder Block Ruins,,,3616,,,,,,,,,,,Y,,PPR,PPR,,,729.252539,,,,,,,
-75.2478692726273,39.9611110132224,52,104 COBBS CREEK PKWY,Cobbs Stone Quay with Fire Pit,,Cobbs Stone Quay with Fire Pit,,,3617,,,,,,,,,,,Y,,PPR,PPR,,,729.252539,,,,,,,
-75.2493266273613,39.9625646664349,53,6410 MARKET ST,Cobbs Creek Park Community Garden,,Cobbs Creek Park Community Garden,,,3773,,,,,,,,,,,Y,,PPR,PPR,,,729.252539,,,,,,,
-75.1644103688646,39.9327430987884,54,1200 WHARTON ST,Columbus Square Restrooms,,Columbus Square Restrooms,,,3564,,,,,,,,,,,Y,,PPR,PPR,,,4.111533,,,,,,,
-75.1793330709799,39.916387063914,55,1800 JOHNSTON ST,Commodore John Barry Playground Dugout 4,,Commodore John Barry Playground,,,3570,,,,,,,,,,,Y,,PPR,PPR,,,4.012548,,,,,,,
-75.1795071791215,39.9162878623572,56,1800 JOHNSTON ST,Commodore John Barry Playground Dugout 3,,Commodore John Barry Playground,,,3569,,,,,,,,,,,Y,,PPR,PPR,,,4.012548,,,,,,,
-75.1787194696499,39.9155042598975,57,1800 JOHNSTON ST,Commodore John Barry Playground Pool Building,,Commodore John Barry Playground Pool Building,,,3571,,,,,,,,,,,Y,,PPR,PPR,,,4.012548,,,,,,,
-75.1789512232587,39.9156659083048,58,1800 JOHNSTON ST,Commodore John Barry Concessions Building 1,,Commodore John Barry Concessions Building 1,,,3565,,,,,,,,,,,Y,,PPR,PPR,,,4.012548,,,,,,,
-75.1790236596904,39.9154103479302,59,1800 JOHNSTON ST,Commodore John Barry Playground Dugout 1,,Commodore John Barry Playground Dugout 1,,,3566,,,,,,,,,,,Y,,PPR,PPR,,,4.012548,,,,,,,
-75.1792261140776,39.9152996903588,60,1800 JOHNSTON ST,Commodore John Barry Playground Dugout 2,,Commodore John Barry Playground Dugout 2,,,3567,,,,,,,,,,,Y,,PPR,PPR,,,4.012548,,,,,,,
-74.9928873726518,40.0535493589384,61,4763 CONVENT LN,Convent Lane Residence Shed,,Convent Lane Residence Shed,,,3619,,,,,,,,,,,Y,,PPR,PPR,,,62.768643,,,,,,,
-75.1665077422422,39.9554290213854,62,110 N 16TH ST,Cafe Cret,,Cret Park,,,3614,,,,,,,,,,,Y,,PPR,PPR,,,1.121917,,,,,,,
-75.1311495325575,39.971815550897,63,1301 E COLUMBIA AVE,Dave Dougherty Field Restrooms,,Dave Dougherty Field Restrooms,,,3774,,,,,,,,,,,Y,,PPR,PPR,,,2.463572,,,,,,,
-75.1464200821602,39.9509660681469,64,25 N 04TH ST,Commerce Street Walk,,Commerce Street Walk,,,3775,,,,,,,,,,,Y,,PPR,PPR,,,0.37266,,,,,,,
-75.1304503513473,39.9722002745078,65,1301 E COLUMBIA AVE,Dave Dougherty Field Shed,,Dave Dougherty Field Shed,,,3581,,,,,,,,,,,Y,,PPR,PPR,,,2.463572,,,,,,,
-75.1904131151547,39.9961380827882,66,3101 STRAWBERRY MANSION DR,Dell Music Center Pavilion 2,,Dell Music Center,,,3776,,,,,,,,,,,,,PUBLIC USE,PPR,,,8.541338,,,,,,,
-75.1929438833936,39.9827198712917,67,3369 RESERVOIR DR,Discovery Center Building,,Discovery Center at East Fairmount Reservoir,,,3777,,,,,,,,,,,,,PUBLIC USE,PPR,,,50.389696,,,,,,,
-75.1889229722136,39.9962758559727,68,3101 STRAWBERRY MANSION DR,Georgie Woods Pavilion,,Dell Music Center,,,3519,,,,,,,,,,,,,PPR,PPR,,,8.541338,,,,,,,
-75.1931017124134,39.9826476283755,69,3369 RESERVOIR DR,Discovery Center Grounds,,Discovery Center at East Fairmount Reservoir,,,3778,,,,,,,,,,,,,PPR,PPR,,,50.389696,,,,,,,
-75.1941362067876,39.9830286339046,70,3369 RESERVOIR DR,Discovery Center Observation Towers,,Discovery Center at East Fairmount Reservoir,,,3779,,,,,,,,,,,,,PPR,PPR,,,50.389696,,,,,,,
-75.0452518914007,40.020969511615,71,6641 KEYSTONE ST,Disston Park Garden,,Disston Park Garden,,,3780,,,,,,,,,,,Y,,PPR,PPR,,,23.500047,,,,,,,
-74.9888530876733,40.0806712517559,72,3325 RED LION RD,Elizabeth M. Picariello Playground Shed 3,,Elizabeth M. Picariello Playground Shed 3,,,3542,,,,,,,,,,,,,PPR,PPR,,,9.437193,,,,,,,
-74.9896918833144,40.0804814941628,73,3325 RED LION RD,Elizabeth M. Picariello Playgd Dugout North 2,,Elizabeth M. Picariello Playgd Dugout North 2,,,3541,,,,,,,,,,,,,PPR,PPR,,,9.437193,,,,,,,
-75.1601351152084,39.9343378795077,74,998 FEDERAL ST,Dr. Nicola Capitolo Playground Community Garden,,Dr. Nicola Capitolo Playground Community Garden,,,3781,,,,,,,,,,,Y,,PPR,PPR,,,4.091991,,,,,,,
-74.9897928746505,40.0806164737189,75,3325 RED LION RD,Elizabeth M. Picariello Playground Shed 2,,Elizabeth M. Picariello Playground Shed 2,,,3539,,,,,,,,,,,,,PPR,PPR,,,9.437193,,,,,,,
-74.9899630508986,40.0804944663348,76,3325 RED LION RD,Elizabeth M. Picariello Playground Dugout North 1,,Elizabeth M. Picariello Playground Dugout North 1,,,3540,,,,,,,,,,,,,PPR,PPR,,,9.437193,,,,,,,
-74.9912606986968,40.0792131852593,77,3325 RED LION RD,Elizabeth M. Picariello Playground Concession Stand,,Elizabeth M. Picariello Playground Concession Stand,,,3538,,,,,,,,,,,,,PPR,PPR,,,9.437193,,,,,,,
-74.9910524716532,40.079058552385,78,3325 RED LION RD,Elizabeth M. Picariello Playground Shed 1,,Elizabeth M. Picariello Playground Shed 1,,,3537,,,,,,,,,,,,,PPR,PPR,,,9.437193,,,,,,,
-74.9909972422277,40.0790441082708,79,3325 RED LION RD,Elizabeth M. Picariello Playground Announcer Booth,,Elizabeth M. Picariello Playground Announcer Booth,,,3536,,,,,,,,,,,,,PPR,PPR,,,9.437193,,,,,,,
-74.9898828705481,40.0791558815869,80,3325 RED LION RD,Elizabeth M. Picariello Playground Dugout South 1,,Elizabeth M. Picariello Playground Dugout South 1,,,3543,,,,,,,,,,,,,PPR,PPR,,,9.437193,,,,,,,
-74.9901411007056,40.0791716355917,81,3325 RED LION RD,Elizabeth M. Picariello Playground Dugout South 2,,Elizabeth M. Picariello Playground Dugout South 2,,,3544,,,,,,,,,,,,,PPR,PPR,,,9.437193,,,,,,,
-75.1389346200153,39.9913775265771,82,2649 N LAWRENCE ST,Fairhill Square Shelter,,Fairhill Square Shelter,,,3642,,,,,,,,,,,,,PPR,PPR,,,2.28,,,,,,,
-75.1761145650904,39.90410293823,83,1450 FDR PARK DR,FDR Park Picnic Shelter,,FDR Park Picnic Shelter,,,3782,,,,,,,,,,,,,PPR,PPR,,,348.582655,,,,,,,
-75.2022211455166,40.0049058231176,84,3689 FALLS RD,Falls Road House,,Falls Road House,,,3783,,,,,,,,,,,,,PPR,PPR,,,1.76564,,,,,,,
-74.9932424947703,40.0433785122563,85,9201 N DELAWARE AVE,Fish Hatchery Boardwalk Building 1,,Fish Hatchery at Pleasant Hill Park,,,3640,,,,,,,,,,,,,PPR,PPR,,,35.151141,,,,,,,
-74.9931349701529,40.0432006361885,86,9201 N DELAWARE AVE,Fish Hatchery Boardwalk Building 2,,Fish Hatchery at Pleasant Hill Park,,,3639,,,,,,,,,,,,,PPR,PPR,,,35.151141,,,,,,,
-74.9932903711573,40.0416728131869,87,9201 N DELAWARE AVE,Fish Hatchery Restrooms,,Fish Hatchery at Pleasant Hill Park,,,3638,,,,,,,,,,,,,PPR,PPR,,,35.151141,,,,,,,
-74.995137090219,40.0409804242917,88,9201 N DELAWARE AVE,Fish Hatchery Maintenance Building 1,,Fish Hatchery at Pleasant Hill Park,,,3636,,,,,,,,,,,,,PPR,PPR,,,35.151141,,,,,,,
-74.994700260131,40.0404329337817,89,9201 N DELAWARE AVE,Fish Hatchery Maintenance Building 2,,Fish Hatchery at Pleasant Hill Park,,,3635,,,,,,,,,,,,,PPR,PPR,,,35.151141,,,,,,,
-75.1317795093275,40.0441579555062,90,648 W SPENCER AVE,Fisher Park Roots Garden,,Fisher Park Roots Garden,,,3784,,,,,,,,,,,,,CITY OF PHILA,PPR,,,24.498365,,,,,,,
-74.9934316069136,40.0406176866197,91,9201 N DELAWARE AVE,Former Torresdale Fish Hatchery Building,,Fish Hatchery at Pleasant Hill Park,,,3637,,,,,,,,,,,,,CITY OF PHILA,PPR,,,35.151141,,,,,,,
-75.0807826744386,40.0739032414944,92,700 RHAWN ST,Fox Chase School Playground,,Fox Chase School Playground,,,3785,,,,,,,,,,,,,CITY OF PHILA,PPR,,,16.369228,,,,,,,
-75.0271682054288,40.060569774135,93,2933 WELSH RD,Frank McArdle Memorial Recreation Center Shed,,Frank McArdle Memorial Recreation Center Shed,,,3786,,,,,,,,,,,,,CITY OF PHILA,PPR,,,,,,,,,,
-75.1797997603274,39.947713668064,94,2301 PINE ST,Fitler Square Building,,Fitler Square Building,,,3787,,,,,,,,,,,,,CITY OF PHILA,PPR,,,,,,,,,,
-75.0568538892146,40.0069787778555,95,5625 TACONY ST,Frankford Boat Launch Building,,Frankford Boat Launch Building,,,3506,,,,,,,,,,,,,CITY OF PHILA,PPR,,,,,,,,,,
-75.1503029677443,39.9559344958377,96,200 N 06TH ST,Franklin Square Mini Golf Building 2,,Franklin Square Mini Golf Building 2,,,53,,,,,,,,,,,,,CITY OF PHILA,PPR,,,7.164952,,,,,,,
-75.1501420236065,39.9556905790514,97,200 N 06TH ST,SquareBurger,,SquareBurger,,,3552,,,,,,,,,,,,,CITY OF PHILA,PPR,,,7.164952,,,,,,,
-75.150452400889,39.955943931631,98,200 N 06TH ST,Franklin Square Mini Golf Building 1,,Franklin Square Mini Golf Building 1,,,3548,,,,,,,,,,,,,CITY OF PHILA,PPR,,,7.164952,,,,,,,
-75.1185293929464,39.9796151998348,99,2600 ARAMINGO AVE,Frederick Cione Playground Pool Building,,Frederick Cione Playground Pool Building,,,3561,,,,,,,,,,,,,CITY OF PHILA,PPR,,,4.752239,,,,,,,
-75.2168242495142,39.9532362227029,100,4710 SPRUCE ST,Garden Court Community Garden,,Garden Court Community Garden,,,3788,,,,,,,,,,,,,CITY OF PHILA,PPR,,,0.585174,,,,,,,
-75.0508413442291,40.0616031668143,101,2138 SOLLY AVE,George C. Pelbano Playground Shed,,George C. Pelbano Playground Shed,,,3532,,,,,,,,,,,,,CITY OF PHILA,PPR,,,,,,,,,,
-75.0023701008284,40.0523505422578,102,4500 LINDEN AVE,George Jacobs Playground Building 2,,George Jacobs Playground Building 2,,,3789,,,,,,,,,,,,,CITY OF PHILA,PPR,,,14.689304,,,,,,,
-75.1912489567234,39.9764323371804,103,1299 BREWERY HILL DR,Glendinning Rock Garden,,Glendinning Rock Garden,,,3585,,,,,,,,,,,,,CITY OF PHILA,PPR,,,2.630021,,,,,,,
-75.2012454166869,39.9948176444879,104,3850 FORD RD,Recycling Center,,Recycling Center,,,3628,,,,,,,,,,,,,CITY OF PHILA,PPR,,,14.105384,,,,,,,
-75.2002906261932,39.9946013655029,105,3850 FORD RD,Recycling Center,,Recycling Center Water Shed,,,1509,,,,,,,,,,,,,CITY OF PHILA,PPR,,,14.105384,,,,,,,
-75.2346522728894,39.966916801717,106,5700 HAVERFORD AVE,Haddington-Marshall Shepard Rec Ctr Picnic Shelter,,Haddington-Marshall Shepard Rec Ctr Picnic Shelter,,,3603,,,,,,,,,,,,,CITY OF PHILA,PPR,,,8.214579,,,,,,,
-75.2014148566005,40.024030179842,107,799 HERMIT LN,Hermit Cave,,Wissahickon Valley Park,,,3517,,,,,,,,,,,,,CITY OF PHILA,PPR,,,2084.101831,,,,,,,
-75.0216168846335,40.0570858504721,108,3065 HOLME AVE,Holme Crispin Cemetery,,Holme Crispin,,,3665,,,,,,,,,,,,,CITY OF PHILA,PPR,,,31.501517,,,,,,,
-75.1510742541616,39.9561335587037,109,200 N 06TH ST,Pavillion in Franklin Square,,Pavillion in Franklin Square,,,3550,,,,,,,,,,,,,CITY OF PHILA,PPR,,,7.164952,,,,,,,
-75.1463162043875,40.0180837790505,110,1101 W HUNTING PARK AVE,Hunting Park Community Garden,,Hunting Park Community Garden,,,3790,,,,,,,,,,,,,CITY OF PHILA,PPR,,,76.467221,,,,,,,
-75.1831755871779,39.9459636537691,111,577 S TANEY ST,James O'Connor Memorial Pool Building 1,,James O'Connor Memorial Pool Building 1,,,3593,,,,,,,,,,,,,CITY OF PHILA,PPR,,,0.373648,,,,,,,
-75.1506442411497,39.9891390511221,112,2400 N 11TH ST,James Young Memorial Playground,,Stephen E. Fotteral Square Storage Building,,,3558,,,,,,,,,,,,,CITY OF PHILA,PPR,,,0.476144,,,,,,,
-75.1835113147136,39.9459890399204,113,577 S TANEY ST,James O'Connor Memorial Pool Building 2,,James O'Connor Memorial Pool Building 2,,,3594,,,,,,,,,,,,,CITY OF PHILA,PPR,,,0.373648,,,,,,,
-74.9699394883999,40.1027880754827,114,3102 MECHANICSVILLE RD,Jim Junod Recreation Center Building Pergola,,Jim Junod Recreation Center Building Pergola,,,3524,,,,,,,,,,,,,CITY OF PHILA,PPR,,,23.515986,,,,,,,
-75.2111815891935,39.9617742828553,115,4372 HAVERFORD AVE,John A. Lee Recreation Center Garden,,John A. Lee Recreation Center Garden,,,1892,,,,,,,,,,,,,CITY OF PHILA,PPR,,,0.017679,,,,,,,
-75.2331781715633,39.9950260070959,116,5323 OVERBROOK AVE,John C. Anderson Cultural Center,,John C. Anderson Cultural Center,,,3479,,,,,,,,,,,,,CITY OF PHILA,PPR,,,0.133316,,,,,,,
-74.9865233317877,40.0564407899757,117,4800 GRANT AVE,Joseph C. Fluehr Memorial Park,,Joseph C. Fluehr Memorial Park,,,188,,,,,,,,,,,,,CITY OF PHILA,PPR,,,62.768643,,,,,,,
-75.1047279962776,40.0148062128127,118,1101 E CAYUGA ST,Joseph A. Ferko Playground,,Joseph A. Ferko Playground Shelter,,,3533,,,,,,,,,,,,,CITY OF PHILA,PPR,,,,,,,,,,
-75.1046745854224,40.00384763639,119,1231 E SEDGLEY AVE,Juniata Park Older Adult Center Maintenance Bldg,,Juniata Park Older Adult Center Maintenance Bldg,,,3580,,,,,,,,,,,,,CITY OF PHILA,PPR,,,0.005827,,,,,,,
-75.0464109128778,40.0145718499705,120,5202 LEVICK ST,Lardner's Point Park Restrooms,,Lardner's Point Park Restrooms,,,3560,,,,,,,,,,,,,CITY OF PHILA,PPR,,,,,,,,,,
-75.1947220187032,39.991571817759,121,3487 EDGLEY DR,Laurel Hill Mansion Grounds,,Laurel Hill Mansion Pavilion,,,3828,,,,,,,,,,,,,CITY OF PHILA,PPR,,,,,,,,,,
-75.2478619540701,39.9600012860814,122,200 S 63RD ST,Laura Sims Skate House,,Laura Sims Skate House,,,3457,,,,,,,,,,,,,CITY OF PHILA,PPR,,,,,,,,,,
-75.1950329206596,39.9912991832737,123,3487 EDGLEY DR,Laurel Hill Mansion Grounds,,Laurel Hill Mansion Grounds,,,3827,,,,,,,,,,,,,CITY OF PHILA,PPR,,,,,,,,,,
-75.1003449746429,40.0468917625698,124,414 LARDNER ST,Lawncrest Recreation Center Building 3,,Lawncrest Recreation Center Building 3,,,1084,,,,,,,,,,,,,CITY OF PHILA,PPR,,,,,,,,,,
-75.1872415403099,39.9709810474323,125,801 LEMON HILL DR,Lemon Hill Mansion Grounds,,Lemon Hill Mansion Grounds,,,3826,,,,,,,,,,,,,CITY OF PHILA,PPR,,,,,,,,,,
-75.0398653012218,40.0422199238272,126,7437 ROWLAND AVE,Lincoln Pool,,Lincoln Pool,,,3471,,,,,,,,,,,,,CITY OF PHILA,PPR,,,,,,,,,,
